
章节,章节名称,题型,题号,题目,选项A,选项B,选项C,选项D,标准答案,解析
第1章,计算思维,单选题,14,从研究现状上看，下列不属于云计算特点的是（）。,超大规模,虚拟化,私有化,高可靠性,C,云计算的特点有超大规模、虚拟化、高可靠性、通用性、高可扩展性、按需服务、成本低廉等，所以选C。
第1章,计算思维,单选题,15,（）是私有云计算基础架构的基石。,虚拟化,分布式,并行,集中式,A,云计算的特点有超大规模、虚拟化、高可靠性、通用性、高可扩展性、按需服务、成本低廉等。而私有云是建立在虚拟化的基础之上的，所以选A。
第1章,计算思维,单选题,16,物联网的核心技术是（）。,射频识别,集成电路,数据库,操作系统,A,物联网是在计算机互联网的基础上，利用射频识别技术、无线数据通信技术等构造一个实现全球物品信息实时共享的实物互联网，所以选A。
第1章,计算思维,单选题,17,物联网的英文名称是（）。,Internet of Matters,Internet of Things,Internet of Theories,Internet of Clouds,B,物联网（Internet of Things，简称IoT），所以选B。
第1章,计算思维,单选题,18,在网站制作的过程中，如果页面布局相似，可采用（）机制进行网页设计。,模版,CSS,层,框架,A,在网站制作的过程中，如果页面布局相似，可采用模版机制进行网页设计，所以选A。
第1章,计算思维,单选题,19,三层结构类型的物联网不包含（）。,感知层,网络层,应用层,链路层,D,三层结构类型的物联网包括感知层、网络层和应用层，并不包含链路层，所以选D。
第1章,计算思维,单选题,20,射频识别系统中阅读器的主要任务是（）。,识别信息,数据计算,识别信号,控制射频模块向标签发送读取信号，并接收标签的应答，对其数据进行处理,D,射频识别系统中阅读器的主要任务是控制射频模块向标签发送读取信号，并接收标签的应答，对其数据进行处理，所以选D。
第2章,计算机系统,单选题,1,组成中央处理器（CPU）的主要部件是（）。,控制器和寄存器,运算器和控制器,控制器和内存,运算器和内存,B,计算机中包含五大功能部件：控制器、运算器、存储器、输入设备和输出设备，其中控制器和运算器通常集成在一块芯片上，称为中央处理器，简称CPU，所以选B。
第2章,计算机系统,单选题,2,在微型计算机中，CPU和（）直接连接。,硬盘,内存,主板,显卡,C,在微型计算机中，CPU通过主板上的CPU接口连接，所以选C。
第2章,计算机系统,单选题,3,下列关于软件特点的说法中错误的是（）。,软件是一种逻辑实体，具有抽象性,软件没有明显的制造过程,软件复杂性高，开发和设计成本高,软件对硬件和环境没有任何依赖性,D,软件对硬件和环境有着不同程度的依赖性，所以选D。
第2章,计算机系统,单选题,4,通常所说的PC是指（）。,微型计算机,中型计算机,小型计算机,大型计算机,A,通常所说的PC是个人计算机Personal Computer的简称，一般是微型计算机，所以选A。
第2章,计算机系统,单选题,5,（）是微型计算机的核心连接部件。,硬盘,CPU,内存,主板,D,主板又称系统板或母板，是微型计算机的核心连接部件。微型计算机硬件系统的其它部件全部都是直接或间接通过主板相连的，所以选D。
第2章,计算机系统,单选题,6,在组成计算机的主要部件中，负责对数据和信息加工的部件是（）。,内存储器,运算器,磁盘,控制器,B,在组成计算机的主要部件中，负责对数据和信息加工的部件是运算器，所以选B。
第2章,计算机系统,单选题,7,微型计算机采用（）为主要电子元器件。,电子管,晶体管,中小规模集成电路,超大规模集成电路,D,20世纪70年代以后，开始采用大规模、超大规模集成电路作为计算机的基本逻辑部件，使计算机体积、质量、成本均大幅度降低，出现了微型计算机，所以选D。
第2章,计算机系统,单选题,8,计算机硬件中，没有（）。,中央处理器,存储器,输入/输出设备,文件夹,D,计算机硬件中没有文件夹，文件夹是操作系统提供的一种组织文件和目录的方式。操作系统是计算机软件的一种，它控制计算机的硬件和软件资源，为用户提供各种功能和服务，所以选D。
第2章,计算机系统,单选题,9,在计算机硬件系统中，组成中央处理器（CPU）的主要部件是（）。,运算器和存储器,控制器和运算器,控制器和存储器,控制器、运算器和存储器,B,计算机中包含五大功能部件：控制器、运算器、存储器、输入设备和输出设备，其中控制器和运算器通常集成在一块芯片上，称为中央处理器，简称CPU，所以选B。
第2章,计算机系统,单选题,10,在组成计算机的主要部件中，处理器的功能是（）。,存储程序和数据,控制计算机程序的运行,执行计算机中的指令和处理数据,输入/输出程序和数据,C,处理器的主要功能是执行计算机中的指令和处理数据。它是计算机的核心部件，负责控制计算机的运行、执行程序的指令、进行算术和逻辑运算等操作。处理器通常由多个核心（Core）组成，每个核心可以同时执行多个指令，从而提高计算机的并行处理能力，所以选C。
第3章,操作系统,单选题,1,操作系统是管理和控制计算机（）资源的系统软件。,CPU和存储设备,主机和外部设备,硬件和软件,系统软件和应用软件,C,操作系统是管理和控制计算机的软硬件资源，合理组织计算机的工作流程，所以选C。
第3章,操作系统,单选题,2,下列关于操作系统的作用错误的是（）。,作为用户与计算机硬件系统之间的接口,作为计算机系统资源的管理者,实现对计算机资源的抽象,管理和控制用户的日常生活,D,在计算机系统中，操作系统位于硬件和用户之间，一方面它能向用户提供接口，方便用户使用计算机；另一方面，它对计算机软硬件资源进行合理高效地分配，最大限度地发挥计算机的功能，所以选D。
第3章,操作系统,单选题,3,以下浏览器中，（）是Windows10内置浏览器。,谷歌浏览器,360安全浏览器,Microsoft Edge,QQ浏览器,C,Windows10，作为微软公司的操作系统，其自带的浏览器是Microsoft Edge，所以选C。
第3章,操作系统,单选题,4,下列不允许用户以交互方式使用的操作系统是（）。,多道批处理操作系统,分时操作系统,实时操作系统,分布式操作系统,A,多道批处理操作系统：就是将作业按照它们的性质分组（或分批），然后再成组（或成批）地提交给计算机系统，由计算机自动完成后再输出结果，无交互性。分时操作系统：是使一台计算机采用时间片轮转的方式同时为几个、几十个甚至几百个用户服务的一种操作系统。实时操作系统：是保证在一定时间限制内完成特定功能的操作系统。分布式操作系统：是支持分布式处理的软件系统，是在由通信网络互联的多处理机体系结构上执行任务的系统，所以选A。
第3章,操作系统,单选题,5,以下微型计算机常用软件中，属于系统软件的是（）。,WPS,Windows,Flash,Photoshop,B,Windows是微型计算机中常见的操作系统之一，操作系统属于系统软件，所以选B。
第3章,操作系统,单选题,6,下列操作系统中，（）是开源操作系统。,DOS,Windows,Linux,IOS,C,DOS：一个单用户单任务操作系统。Windows：以图形用户界面为基础研发的操作系统。Linux：免费使用和自由传播的类Unix操作系统，系统性能稳定，而且是开源软件。IOS：由苹果公司开发的移动操作系统，所以选C。
第3章,操作系统,单选题,7,Windows 10中，文件或文件夹的复制命令的快捷键是（）。,【Ctrl+V】,【Ctrl+Z】,【Ctrl+X】,【Ctrl+C】,D,Ctrl+V：V代表paste，粘贴的意思，所以Ctrl+V经常用来表示粘贴的快捷组合键。如果配合剪切和复制快捷组合键，能快速提高工作效率。Ctrl+Z：Z一般代表undo的意思，所以这个组合键经常用来表示撤销上一步操作。对于有的系统，可以连续使用Ctrl+Z进行多个步骤的撤销操作。Ctrl+X：X代表cut的意思，即剪切文本或文件，这个快捷组合键是与复制组合键不同的，这个组合键不创建副本，而是相当于移动。Ctrl+C：C代表copy的意思，所以这个组合键用来复制图像或文本，或者复制桌面图标等，复制一般会创建一个原来文件的副本，并不对原文件进行损坏，所以选D。
第3章,操作系统,单选题,8,在Windows 10文件资源管理器中，要查看文件夹的大小、属性以及包括多少文件等文件夹的信息，通常可选择下列（）选项卡中的功能。,文件,编辑,查看,共享,A,在文件选项卡中可以看到如下详细信息：以详细的方式显示文件或文件夹，包括文件名、修改日期、类型、大小、创建日期、所有者和权限等信息，所以选A。
第3章,操作系统,单选题,9,下列操作中，Windows 10资源管理器主页功能区中不能实现的是（）。,复制,剪切,粘贴,共享,D,Windows 10资源管理器主页功能区中包含复制、粘贴、剪切、复制路径、移动到、复制到、新建文件夹、新建项目、属性、历史记录、全部选择等功能，不包含共享，所以选D。
第3章,操作系统,单选题,10,Windows10中，文件或文件夹的剪切命令的快捷键是（）。,【Ctrl+V】,【Ctrl+Z】,【Ctrl+X】,【Ctrl+C】,C,Ctrl+V：即粘贴的快捷键；Ctrl+Z：即撤销上一步操作的快捷键；Ctrl+X：即剪切文本或文件的快捷键；Ctrl+C：即复制的快捷键，所以选C。
第3章,操作系统,单选题,11,在Windows10中，关于文件名命名方法正确的是（）。,?123.txt,456>.txt,tianqi.txt,123|45.txt,C,文件名和文件夹名不能使用下列字符：、*、/、?、"、<、>、|，所以选C。
第3章,操作系统,单选题,12,在Windows7环境下，文件名最多可以输入（）个字符。,56,24,255,356,C,在Windows7环境下，文件名最多可以输入255个字符。这包括文件名和文件扩展名。Windows7对文件名的长度有限制，超过该限制可能会导致无法保存或打开文件，所以选C。
第3章,操作系统,单选题,13,在Windows 10系统附件中的计算器程序，不包含以下哪种计算器模式（）。,标准,程序员,字符,科学型,C,Windows 10计算机包含标准、科学、绘图、程序员、日期计算及转换器等，所以选C。
第3章,操作系统,单选题,14,按一次（）键可删除光标前的一个字符。,【Backspace】,【Esc】,【Insert】,【Delete】,A,Backspace又称退格键，这个按键可以把光标前面的文本内容删除掉；而Delete键（简称del键）可以删除字符、文件和选中对象，每按一次del键，就会删除光标右侧的一个字符；控制键Esc的功能是取消当前输入的命令；Insert键主要用于在文字处理器切换文本输入的模式，所以选A。
第3章,操作系统,单选题,15,按（）快捷键可以把剪贴板上的信息粘贴到"记事本"程序窗口中。,【Ctrl+Z】,【Ctrl+X】,【Ctrl+V】,【Ctrl+C】,C,Ctrl+V：V代表paste，粘贴的意思，所以Ctrl+V经常用来表示粘贴的快捷组合键。如果配合剪切和复制快捷组合键，能快速提高工作效率。Ctrl+Z：Z一般代表undo的意思，所以这个组合键经常用来表示撤销上一步操作。对于有的系统，可以连续使用Ctrl+Z进行多个步骤的撤销操作。Ctrl+X：X代表cut的意思，即剪切文本或文件，这个快捷组合键是与复制组合键不同的，这个组合键不创建副本，而是相当于移动。Ctrl+C：C代表copy的意思，所以这个组合键用来复制图像或文本，或者复制桌面图标等，复制一般会创建一个原来文件的副本，并不对原文件进行损坏，所以选C。
第3章,操作系统,单选题,16,计算机键盘上的Delete键的功能一般是（）。,确认,取消,控制,删除,D,Delete键可以删除字符、文件和选中对象。每按一次Delete键，就会删除光标右侧的一个字符，所以选D。
第3章,操作系统,单选题,17,记事本可以用来建立文本文件，其编辑文本的格式包含（）。,无法设置格式,自动换行,字体、字号,自动换行、字体、字号,D,Windows记事本功能是一个应用程序，采用一个简单的文本编辑器进行文字信息的记录和存储。可以进行自动换行，简单的字体字号的基本操作，所以选D。
第3章,操作系统,单选题,18,在Windows操作系统中，关于窗口和对话框的说法，正确的是（）。,窗口不可以改变大小，而对话框可以改变大小,窗口、对话框都可以改变大小,窗口可以改变大小，而对话框不可以改变大小,窗口、对话框都不可以改变大小,C,窗口可改变大小，对话框不可以改变大小。对话框是一种次要窗口，包含按钮和不同选项，通过按钮和选项可以完成特定命令或任务，所以选C。
第3章,操作系统,单选题,19,在Windows中，按下鼠标左键一次的操作是（）。,单击,双击,拖曳,启动,A,单击：指快速按下并释放鼠标左键。单击一般用于选定一个操作对象。双击：指连续两次快速按下并释放鼠标左键。双击一般用于打开窗口，启动应用程序。拖动：指按下鼠标左键，移动鼠标到指定位置，再释放按键的操作。拖动一般用于选择多个操作对象，复制或移动对象等，也可以用来拖动窗口，所以选A。
第3章,操作系统,单选题,20,在使用画图工具时，图片编辑后为了保存，可以使用的快捷命令是（）。,【Ctrl+S】,【Ctrl+Z】,【Ctrl+X】,【Ctrl+C】,A,Ctrl+S：即保存的快捷键；Ctrl+Z：即撤销上一步操作的快捷键；Ctrl+X：即剪切文本或文件的快捷键；Ctrl+C：即复制的快捷键，所以选A。
第4章,计算机网络基础,单选题,1,调制解调器（Modem）的作用是（）。,将计算机的数字信号转换成模拟信号，以便发送,将模拟信号转换成计算机的数字信号，以便接收,将计算机数字信号与模拟信号互相转换，以便传输,为了上网与接电话两不误,C,调制解调器是一种能够使计算机通过电话线与其他计算机进行通信的设备。一方面将计算机的数字信号转换成可在电话线上传送的模拟信号；另一方面，将电话线传输的模拟信号转换成计算机所能接收的数字信号，所以选C。
第4章,计算机网络基础,单选题,2,下列功能中不属于计算机网络的功能是（）。,资源共享,数据通信,分布处理,快速文字处理,D,计算机网络的特点是资源共享。计算机网络是实现资源共享和信息传递的计算机系统，它有着数据通信、资源共享、集中管理、分布式处理、负荷均衡等功能。快速文字处理不是计算机网络的功能，而是计算机的本地功能，所以选D。
第4章,计算机网络基础,单选题,3,在OSI参考模型中，哪一层负责提供数据的可靠传输和错误检测？,数据链路层,物理层,网络层,传输层,D,在OSI参考模型中，传输层负责提供数据的可靠传输和错误检测。传输层的主要功能是在源和目的主机之间提供端到端的通信服务。它负责将数据分割成更小的数据段，并通过网络传输。传输层使用一些协议来确保数据的可靠性，传输层的错误检测机制可以检测和纠正数据传输中的错误，以确保数据的完整性和准确性，所以选D。
第4章,计算机网络基础,单选题,4,构成Internet重要基础的、最典型的分组交换设备是（）。,集线器和交换机,路由器和交换机,路由器和中继器,交换机和服务器,B,交换机是一种用于电信号转发的网络设备；路由器是一种可以在不同的网络之间进行信号转换的互连设备；中继器又称转发器，主要负责在两个结点的物理层上按位传递信息；集线器将一个端口接收的所有信号向所有端口分发出去；因此起到构成Internet重要基础的、最典型的分组交换设备是路由器和交换器，所以选B。
第4章,计算机网络基础,单选题,5,下列不属于计算机网络分类的是（）。,局域网,广域网,市域网,城域网,C,按网络覆盖的地理范围可将计算机网络分为局域网、广域网、城域网和个人网，所以选C。
第4章,计算机网络基础,单选题,6,若要使计算机连接到网络中，必须在计算机加上（）。,网络适配器（网卡）,中继器,路由器,集线器,A,网络适配器又称网卡或网络接口卡，是计算机连接到网络的必要硬件，是计算机与网络之间的物理链路，其作用是在计算机与网络之间提供数据传输功能，所以选A。
第4章,计算机网络基础,单选题,7,在互联网中，用来进行数据传输控制的协议是（）。,UDP,TCP/IP,HTTP,FTP,B,TCP/IP是指能够在多个不同网络间实现信息传输的协议簇，所以选B。
第4章,计算机网络基础,单选题,8,在互联网中，一个IPv6地址由（）位二进制数组成。,32,16,128,64,C,从IPv4到IPv6最显著的变化就是网络地址的长度。IPv6协议使用128位的IP地址，所以选C。
第4章,计算机网络基础,单选题,9,互联网的域名中，顶级域名为".edu"代表（）。,教育机构,商业机构,政府部门,军事部门,A,.edu域名指属于教育科研网、教育机构；.gov是政府机构；.com是商业机构；.mil是军事机构，所以选A。
第4章,计算机网络基础,单选题,10,互联网的域名中，顶级域名为".gov"代表（）。,教育机构,商业机构,政府部门,军事部门,C,.edu指属于教育科研网、教育机构；.gov是政府机构；.com是商业机构；.mil是军事机构，所以选C。
第4章,计算机网络基础,单选题,11,李明想到网上使用搜索引擎查找《高等数学习题大全》，那么他输入（）关键词查找效率更高。,高等,高等数学习题大全,数学,习题大全,B,搜索部分关键词，可以扩大搜索范围，如果要精确搜索或提高搜索效率，使用全词检索更为准确，所以选B。
第4章,计算机网络基础,单选题,12,利用搜索引擎查找专有名词时，可添加英文符号（）来强制搜索。,+,-,（）,"",D,通过在专有名词添加英文引号""，搜索引擎会将该短语作为一个整体进行搜索，而不是将其拆分成单个关键词进行搜索，所以选D。
第4章,计算机网络基础,单选题,13,某人在网上看到自己喜欢的图片，想将其下载到自己的电脑中，以下哪种操作能实现图片的下载？,单击下载,右击选择"图片另存为",单击鼠标滑轮,双击右键,B,左右键的功能分别为左键单击为选择，双击为打开，右击为属性，中间滑轮可以在打开页面的时候上下拉动页面，网页图片可在图片上右击选择"另存为"保存图片，所以选B。
第4章,计算机网络基础,单选题,14,在因特网上可以搜索特定"网址"下的网站内容，在搜索内容和网址中加入关键词（）即可。,site,intitle,+,-,A,site指的是网址搜索，搜索结果限定只会是在网址所示网站下的内容。intitle指特定搜索网站标题内容。标识符+，搜索结果为有附加关键词和关键词同时存在的网站，格式为：关键词+附加关键词。标识符-，搜索结果不会出现有排除关键词的网站，格式为：关键词-排除关键词，所以选A。
第4章,计算机网络基础,单选题,15,在因特网上搜索某一类型文件时，需要配置文件类型，可在文件名前加上（）。,filetype:doc,filetype:jpg,filetype:avi,filetype:文档,A,在某一类文件中搜索：配置filetype类型（.xls、.ppt、.doc、.rtf、wordperfect文档、lotus1-2-3文档、.pdf文档、.swf等）。B、C、D不符合搜索要求，并会出现搜索错误，所以选A。
第4章,计算机网络基础,单选题,16,信息安全需求包含（）。,完整性,可用性,保密性,以上皆是,D,信息安全是指信息系统受到保护，不受偶然的或者恶意的原因而遭到破坏、更改、泄露，系统连续可靠正常地运行。信息安全需求是保障信息的完整性、可用性和保密性，所以选D。
第4章,计算机网络基础,单选题,17,（）的成功发射，使我国在世界上首次实现卫星和地面之间的量子通信，构建天地一体化的量子保密通信与科学实验体系。,东方红一号,北斗卫星,墨子号,嫦娥二号,C,2016年8月16日1时40分，中国在酒泉卫星发射中心用长征二号丁运载火箭成功将墨子号量子科学实验卫星发射升空，进入预定轨道。墨子号的成功发射，使我国在世界上首次实现卫星和地面之间的量子通信，构建天地一体化的量子保密通信与科学实验体系，所以选C。
第4章,计算机网络基础,单选题,18,量子作为一个新的物理概念，最早由（）提出。,爱因斯坦,普朗克,玻尔,费米,B,1900年左右，普朗克提出：像原子作为一切物质的构成单位一样，能量子（量子）是能量的最小单位。物体吸收或发射电磁辐射，只能以能量量子的方式进行。普朗克在1900年12月14日的德国物理学学会会议中第一次发表能量量子化数值、一个分子摩尔（mol）的数值及基本电荷等。其数值比以前更准确，提出的理论也成功解决了黑体辐射的问题，标志着量子力学的诞生，所以选B。
第4章,计算机网络基础,单选题,19,目前的量子信息技术不包含（）。,量子传感与计量,量子计算,量子通信,量子瞬移,D,目前的量子信息技术主要包括量子传感与计量、量子计算和量子通信，所以选D。
第4章,计算机网络基础,单选题,20,下列关于计算机病毒的叙述中，正确的是（）。,计算机病毒只在可执行文件中传染，不执行的文件不会传染,计算机病毒主要通过读、写移动存储器或internet网络进行传播,只要删除所有感染了病毒的文件就可以彻底消除计算机病毒,计算机杀病毒软件可以查出和清除任意已知的和未知的计算机病毒,B,计算机病毒主要通过移动存储介质，如：U盘、移动硬盘和计算机网络两大途径进行传播，所以选B。
第5章,数据库技术应用基础,单选题,1,在关系数据库中，用来表示实体之间联系的是（）。,树结构,栈,网结构,二维表,D,关系数据库是以关系模型为基本结构，关系模型是一种以二维表的形式表示实体与实体之间的联系的数据模型，所以选D。
第5章,数据库技术应用基础,单选题,2,关于数据库系统的叙述正确的是（）。,数据库系统减少了数据冗余,数据库系统避免了一切冗余,数据库系统中数据的一致性是指数据类型一致,数据库系统比文件系统能管理更多的数据,A,数据库具有最小的冗余度：以一定的数据模型来组织数据，数据尽可能不重复，减少数据冗余。数据库的一致性是指数据库在事务执行过程中始终保持数据的正确性和完整性，并不是数据类型的一致。数据库会提供更多应用服务，并不一定数据更多，所以选A。
第5章,数据库技术应用基础,单选题,3,数据管理技术的发展阶段不包含（）。,操作系统管理阶段,人工管理阶段,文件系统管理阶段,数据库系统管理阶段,A,数据管理技术的发展经历人工管理阶段、文件系统阶段和数据库系统阶段，所以选A。
第5章,数据库技术应用基础,单选题,4,关系数据库是以（）为基本结构而形成的数据集合。,数据表,关系模型,数据模型,关系代数,B,关系数据库是以关系模型为基本结构，所以选B。
第5章,数据库技术应用基础,单选题,5,关于数据库系统的叙述，正确的是（）。,数据库系统减少了数据冗余,数据库系统避免了一切冗余,数据库系统中数据的一致性是指数据类型一致,数据库系统比文件系统能管理更多的数据,A,数据库具有最小的冗余度：以一定的数据模型来组织数据，数据尽可能不重复，减少数据冗余。数据库的一致性是指数据库在事务执行过程中始终保持数据的正确性和完整性，并不是数据类型的一致。数据库会提供更多应用服务，并不一定数据更多，所以选A。
第5章,数据库技术应用基础,单选题,6,关系表中的每一横行称为一个（）。,元组,字段,属性,码,A,关系表是按照关系模型建立的表，关系模型是以二维表的形式存储数据，二维表每一行被称为一个元组，由一个个体事物的诸多属性构成，且各行的顺序可以是任意的，即关系表每一行称为一个元组，所以选A。
第5章,数据库技术应用基础,单选题,7,关系表中的每一列称为一个（）。,元组,记录,属性,码,C,关系表是按照关系模型建立的表，关系模型是以二维表的形式存储数据，二维表每一列被称为一个属性，列数根据需要而设且各列的顺序是任意的，即关系表每一列称为一个属性，所以选C。
第5章,数据库技术应用基础,单选题,8,如果表A中的一条记录与表B中的多条记录相匹配，且表B中的一条记录与表A中的多条记录相匹配，则表A与表B存在的关系是（）。,一对一,一对多,多对一,多对多,D,一条表A的记录可以与表B中的多条记录匹配，同时一条表B的记录也可以与表A中的多条记录匹配。这意味着在两个表中的每一条记录都可以与对方表中的多条记录建立关联关系，因此表A与表B之间的关系是多对多的，所以选D。
第5章,数据库技术应用基础,多选题,9,数据管理技术的发展阶段包含（）。,操作系统管理阶段,人工管理阶段,文件系统管理阶段,数据库系统管理阶段,BCD,数据管理技术的发展，经历人工管理阶段、文件系统管理阶段和数据库系统管理阶段，所以选BCD。
第5章,数据库技术应用基础,多选题,10,数据库管理系统是用户和数据库的接口，它的基本功能包含（）。,数据定义功能,数据操纵功能,数据库的运行管理功能,数据库的建立和维护功能,ABCD,数据库管理系统是位于用户与操作系统之间的数据管理软件，是用户和数据库的接口，它的基本功能包含以下四个方面：（1）数据定义功能：DBMS提供数据定义语言通过它可以方便地对数据库中的数据对象进行定义。（2）数据操纵功能：DBMS提供数据操纵语言，使用DML操纵数据，可以实现对数据的基本操作，如查询、插入、删除和修改等。（3）数据库的运行管理功能：数据库在建立、运行和维护时由数据库管理系统进行统一地管理和控制，能够对并发操作的控制以及发生故障后的系统进行恢复，以保证数据的安全性、完整性。（4）数据库的建立和维护功能：其包含数据库初始数据的输入、转换功能，数据库的转储、恢复功能，数据库的重组织、性能监视和分析功能等，所以选ABCD。
第5章,数据库技术应用基础,判断题,11,数据包含数字、文字、图形、图像、声音及其他特殊符号等多种表现形式。,,正确,,数据是描述现实世界事物的符号记录，是用物理符号记录的可以鉴别的信息。这些物理符号包含数字、文字、图形、图像、声音及其他特殊符号等多种表现形式。数据的各种表现形式都可以经过数字化后存入计算机，所以正确。
第5章,数据库技术应用基础,判断题,12,数据库管理的数据包含数字、文字、图形、图像、声音及其他特殊符号等多种表现形式。,,正确,,数据库可以存储各种类型的信息，无论是数值数据、文本数据、图形或图像数据，甚至是音频数据，都可以被存储和管理在数据库中。这种多样性使得数据库能够满足不同类型的应用需求，无论是存储文本文档、图像文件、音乐文件等，都可以通过数据库进行管理和访问，所以正确。
第5章,数据库技术应用基础,判断题,13,数据库管理系统对数据库进行统一的管理和控制，以保证数据库的安全性和完整性。,,正确,,数据库是长期存储在计算机内、有组织的、可共享的数据集合。数据库管理系统对数据库进行统一的管理和控制，以保证数据库的安全性和完整性，所以正确。
第5章,数据库技术应用基础,判断题,14,在数据库中，满足允许一个以上节点无双亲和一个节点可以有多余一个双亲条件的数据模型称为网状模型。,,正确,,在数据库中，网状模型需满足以下两个条件：（1）允许一个以上节点无双亲；（2）一个节点可以有多于一个双亲，所以正确。
第5章,数据库技术应用基础,判断题,15,数据库是长期存储在计算机内、有组织的、可共享的数据集合。,,正确,,数据库是长期存储在计算机内、有组织的、可共享的数据集合，所以正确。
